ds,ENTRIES_DIFF,EXITS_DIFF,y
2014-09-19,184432.0,162779.0,347211.0
2014-09-20,100966.0,91671.0,192637.0
2014-09-21,108769.0,86868.0,195637.0
2014-09-22,190505.0,160535.0,351040.0
2014-09-23,194905.0,165770.0,360675.0
2014-09-24,184740.0,165834.0,350574.0
2014-09-25,172182.0,149099.0,321281.0
2014-09-26,169618.0,151417.0,321035.0
2014-09-27,97866.0,87861.0,185727.0
2014-09-28,88739.0,77485.0,166224.0
2014-09-29,176742.0,148947.0,325689.0
2014-09-30,180084.0,150362.0,330446.0
2014-10-01,184296.0,156196.0,340492.0
2014-10-02,183954.0,157962.0,341916.0
2014-10-03,176786.0,163609.0,340395.0
2014-10-04,90041.0,82668.0,172709.0
2014-10-05,94138.0,77857.0,171995.0
2014-10-06,179848.0,149764.0,329612.0
2014-10-07,184346.0,156254.0,340600.0
2014-10-08,186627.0,158224.0,344851.0
2014-10-09,189654.0,167311.0,356965.0
2014-10-10,192413.0,174951.0,367364.0
2014-10-11,104769.0,91831.0,196600.0
2014-10-12,99557.0,84104.0,183661.0
2014-10-13,148009.0,124247.0,272256.0
2014-10-14,186464.0,153123.0,339587.0
2014-10-15,183892.0,155971.0,339863.0
2014-10-16,183263.0,156096.0,339359.0
2014-10-17,122842.0,88213.0,211055.0
2014-10-18,164522.0,169544.0,334066.0
2014-10-19,91838.0,77482.0,169320.0
2014-10-20,183447.0,151642.0,335089.0
2014-10-21,197064.0,165723.0,362787.0
2014-10-22,194328.0,167096.0,361424.0
2014-10-23,200347.0,163372.0,363719.0
2014-10-24,181556.0,163940.0,345496.0
2014-10-25,102208.0,91875.0,194083.0
2014-10-26,91251.0,79003.0,170254.0
2014-10-27,181316.0,151160.0,332476.0
2014-10-28,185981.0,157214.0,343195.0
2014-10-29,187481.0,163189.0,350670.0
2014-10-30,201680.0,169767.0,371447.0
2014-10-31,191360.0,161354.0,352714.0
2014-11-01,103322.0,101417.0,204739.0
2014-11-02,100308.0,88015.0,188323.0
2014-11-03,184695.0,156257.0,340952.0
2014-11-04,183030.0,154737.0,337767.0
2014-11-05,189606.0,160668.0,350274.0
2014-11-06,194281.0,162974.0,357255.0
2014-11-07,191251.0,168288.0,359539.0
2014-11-08,102495.0,90051.0,192546.0
2014-11-09,87627.0,77373.0,165000.0
2014-11-10,183865.0,153700.0,337565.0
2014-11-11,168136.0,143392.0,311528.0
2014-11-12,187691.0,158913.0,346604.0
2014-11-13,191504.0,164314.0,355818.0
2014-11-14,189652.0,168148.0,357800.0
2014-11-15,100292.0,89184.0,189476.0
2014-11-16,85841.0,74292.0,160133.0
2014-11-17,186135.0,153221.0,339356.0
2014-11-18,190623.0,160993.0,351616.0
2014-11-19,199173.0,171133.0,370306.0
2014-11-20,193454.0,162440.0,355894.0
2014-11-21,192301.0,168091.0,360392.0
2014-11-22,100212.0,89553.0,189765.0
2014-11-23,82367.0,73311.0,155678.0
2014-11-24,188166.0,151436.0,339602.0
2014-11-25,184791.0,170007.0,354798.0
2014-11-26,172262.0,175453.0,347715.0
2014-11-27,74440.0,87962.0,162402.0
2014-11-28,137598.0,105837.0,243435.0
2014-11-29,109745.0,84617.0,194362.0
2014-11-30,102214.0,73545.0,175759.0
2014-12-01,192060.0,162451.0,354511.0
2014-12-02,189913.0,162931.0,352844.0
2014-12-03,194186.0,163421.0,357607.0
2014-12-04,193967.0,169710.0,363677.0
2014-12-05,194759.0,170904.0,365663.0
2014-12-06,109171.0,96544.0,205715.0
2014-12-07,89368.0,84229.0,173597.0
2014-12-08,195375.0,159817.0,355192.0
2014-12-09,194700.0,158279.0,352979.0
2014-12-10,200217.0,166396.0,366613.0
2014-12-11,197773.0,161792.0,359565.0
2014-12-12,201083.0,174249.0,375332.0
2014-12-13,124318.0,107277.0,231595.0
2014-12-14,95947.0,92203.0,188150.0
2014-12-15,189896.0,157456.0,347352.0
2014-12-16,193262.0,168953.0,362215.0
2014-12-17,198143.0,168226.0,366369.0
2014-12-18,193888.0,170885.0,364773.0
2014-12-19,197991.0,172965.0,370956.0
2014-12-20,118597.0,111134.0,229731.0
2014-12-21,97446.0,91935.0,189381.0
2014-12-22,185738.0,160158.0,345896.0
2014-12-23,179635.0,166351.0,345986.0
2014-12-24,130498.0,130430.0,260928.0
2014-12-25,51044.0,48102.0,99146.0
2014-12-26,130420.0,107081.0,237501.0
2014-12-27,112750.0,93389.0,206139.0
2014-12-28,93559.0,77098.0,170657.0
2014-12-29,169464.0,136418.0,305882.0
2014-12-30,172837.0,144238.0,317075.0
2014-12-31,155832.0,125060.0,280892.0
2015-01-01,68135.0,65394.0,133529.0
2015-01-02,127287.0,105436.0,232723.0
2015-01-03,86825.0,71216.0,158041.0
2015-01-04,68931.0,55710.0,124641.0
2015-01-05,161369.0,125803.0,287172.0
2015-01-06,158614.0,131683.0,290297.0
2015-01-07,167300.0,139279.0,306579.0
2015-01-08,166662.0,138960.0,305622.0
2015-01-09,163222.0,133288.0,296510.0
2015-01-10,83517.0,68191.0,151708.0
2015-01-11,64261.0,50419.0,114680.0
2015-01-12,156877.0,126237.0,283114.0
2015-01-13,159294.0,134741.0,294035.0
2015-01-14,166690.0,136280.0,302970.0
2015-01-15,165828.0,137257.0,303085.0
2015-01-16,163082.0,137701.0,300783.0
2015-01-17,81223.0,64070.0,145293.0
2015-01-18,63195.0,49097.0,112292.0
2015-01-19,100193.0,78225.0,178418.0
2015-01-20,163392.0,132992.0,296384.0
2015-01-21,162437.0,131400.0,293837.0
2015-01-22,161415.0,132617.0,294032.0
2015-01-23,161662.0,135611.0,297273.0
2015-01-24,78462.0,61313.0,139775.0
2015-01-25,70916.0,55351.0,126267.0
2015-01-26,138666.0,111412.0,250078.0
2015-01-27,21342.0,21372.0,42714.0
2015-01-28,157719.0,129220.0,286939.0
2015-01-29,170424.0,137106.0,307530.0
2015-01-30,167504.0,140341.0,307845.0
2015-01-31,82347.0,67537.0,149884.0
2015-02-01,64319.0,52165.0,116484.0
2015-02-02,152571.0,122750.0,275321.0
2015-02-03,170875.0,138915.0,309790.0
2015-02-04,171797.0,138494.0,310291.0
2015-02-05,169491.0,137004.0,306495.0
2015-02-06,163999.0,131256.0,295255.0
2015-02-07,81606.0,64589.0,146195.0
2015-02-08,67238.0,51799.0,119037.0
2015-02-09,157573.0,120688.0,278261.0
2015-02-10,166354.0,132178.0,298532.0
2015-02-11,171120.0,137247.0,308367.0
2015-02-12,169860.0,139220.0,309080.0
2015-02-13,175691.0,147663.0,323354.0
2015-02-14,84148.0,71345.0,155493.0
2015-02-15,74474.0,65572.0,140046.0
2015-02-16,98036.0,74713.0,172749.0
2015-02-17,158799.0,125138.0,283937.0
2015-02-18,166784.0,133206.0,299990.0
2015-02-19,167571.0,135419.0,302990.0
2015-02-20,163302.0,136606.0,299908.0
2015-02-21,81025.0,63128.0,144153.0
2015-02-22,67099.0,55303.0,122402.0
2015-02-23,167178.0,130265.0,297443.0
2015-02-24,171534.0,135852.0,307386.0
2015-02-25,169134.0,136680.0,305814.0
2015-02-26,170672.0,137919.0,308591.0
2015-02-27,168928.0,141832.0,310760.0
2015-02-28,90740.0,74741.0,165481.0
2015-03-01,71981.0,56521.0,128502.0
2015-03-02,161330.0,127002.0,288332.0
2015-03-03,175768.0,141633.0,317401.0
2015-03-04,169911.0,134323.0,304234.0
2015-03-05,142667.0,119477.0,262144.0
2015-03-06,169215.0,139899.0,309114.0
2015-03-07,90110.0,79249.0,169359.0
2015-03-08,68239.0,61645.0,129884.0
2015-03-09,168277.0,130960.0,299237.0
2015-03-10,174757.0,135135.0,309892.0
2015-03-11,173370.0,136930.0,310300.0
2015-03-12,176955.0,142749.0,319704.0
2015-03-13,173912.0,147534.0,321446.0
2015-03-14,94739.0,76647.0,171386.0
2015-03-15,77978.0,64772.0,142750.0
2015-03-16,162324.0,126074.0,288398.0
2015-03-17,168035.0,137851.0,305886.0
2015-03-18,174445.0,141096.0,315541.0
2015-03-19,184963.0,151884.0,336847.0
2015-03-20,169478.0,141017.0,310495.0
2015-03-21,88277.0,72481.0,160758.0
2015-03-22,74644.0,60503.0,135147.0
2015-03-23,164867.0,129164.0,294031.0
2015-03-24,169394.0,134848.0,304242.0
2015-03-25,170137.0,138426.0,308563.0
2015-03-26,168251.0,135603.0,303854.0
2015-03-27,167498.0,139938.0,307436.0
2015-03-28,90911.0,78536.0,169447.0
2015-03-29,75689.0,65676.0,141365.0
2015-03-30,162312.0,129252.0,291564.0
2015-03-31,172094.0,140026.0,312120.0
2015-04-01,171095.0,141488.0,312583.0
2015-04-02,174202.0,139466.0,313668.0
2015-04-03,140055.0,129557.0,269612.0
2015-04-04,94474.0,81515.0,175989.0
2015-04-05,80226.0,60014.0,140240.0
2015-04-06,168185.0,126982.0,295167.0
2015-04-07,167387.0,133048.0,300435.0
2015-04-08,165590.0,136285.0,301875.0
2015-04-09,171082.0,140036.0,311118.0
2015-04-10,164518.0,138670.0,303188.0
2015-04-11,101689.0,81417.0,183106.0
2015-04-12,83312.0,64630.0,147942.0
2015-04-13,157379.0,122410.0,279789.0
2015-04-14,161323.0,130115.0,291438.0
2015-04-15,168074.0,135291.0,303365.0
2015-04-16,169441.0,136898.0,306339.0
2015-04-17,166970.0,137171.0,304141.0
2015-04-18,90131.0,74078.0,164209.0
2015-04-19,78392.0,59908.0,138300.0
2015-04-20,162420.0,124197.0,286617.0
2015-04-21,164350.0,129909.0,294259.0
2015-04-22,165540.0,136250.0,301790.0
2015-04-23,169029.0,138287.0,307316.0
2015-04-24,165619.0,140117.0,305736.0
2015-04-25,92050.0,73917.0,165967.0
2015-04-26,76672.0,58744.0,135416.0
2015-04-27,159489.0,124635.0,284124.0
2015-04-28,164432.0,131926.0,296358.0
2015-04-29,160871.0,133021.0,293892.0
2015-04-30,166086.0,138040.0,304126.0
2015-05-01,167587.0,139978.0,307565.0
2015-05-02,94688.0,76957.0,171645.0
2015-05-03,77591.0,62564.0,140155.0
2015-05-04,161551.0,123817.0,285368.0
2015-05-05,162403.0,128954.0,291357.0
2015-05-06,163945.0,131875.0,295820.0
